N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
174,JB금융지주,"8,450",40,+0.48%,"5,000","16,645","196,983",40.68,"521,797",3.67,10.06,
175,아이에스동서,"52,400",900,+1.75%,500,"16,188","30,893",4.50,"74,953",14.94,10.92,
176,두산,"96,600","2,100",+2.22%,"5,000","15,962","16,524",11.88,"99,404",-158.10,-34.34,
177,DGB금융지주,"9,430",80,+0.86%,"5,000","15,950","169,146",49.66,"736,285",3.74,6.93,
178,한국앤컴퍼니,"16,800",200,-1.18%,500,"15,949","94,935",9.77,"125,306",6.43,5.08,
179,한미반도체,"32,200",150,+0.47%,200,"15,926","49,460",6.49,"193,811",21.47,21.03,
180,명신산업,"29,850",150,-0.50%,500,"15,662","52,470",3.62,"376,033",-12.94,-67.39,
181,솔루엠,"31,300",450,+1.46%,500,"15,652","50,006",8.47,"655,077",39.17,43.26,
182,녹십자홀딩스,"32,800",50,-0.15%,500,"15,425","47,028",5.31,"65,064",10.12,19.74,
183,부광약품,"21,550",100,+0.47%,500,"15,314","71,063",4.51,"476,462",-136.39,-2.46,
184,코스맥스,"134,000","1,500",-1.11%,500,"15,208","11,350",24.68,"77,579",31.05,6.23,
185,대한유화,"231,500","2,500",-1.07%,"5,000","15,048","6,500",13.79,"41,602",6.47,6.93,
186,DL,"71,300",200,-0.28%,"5,000","14,942","20,956",15.01,"55,883",2.30,11.84,
187,KG동부제철,"14,900",250,-1.65%,"5,000","14,901","100,009",1.51,"193,006",12.18,7.18,
188,코스모신소재,"49,000","2,500",-4.85%,"1,000","14,743","30,087",7.63,"1,473,829",77.65,7.16,
189,SK가스,"158,500","2,500",-1.55%,"5,000","14,630","9,230",6.41,"51,262",5.91,14.91,
190,KODEX 단기채권PLUS,"103,205",10,+0.01%,0,"14,608","14,154",0.00,"3,854,550",N/A,N/A,
191,F&F홀딩스,"37,150",200,-0.54%,500,"14,531","39,114",0.71,"61,408",0.27,16.59,
192,신세계인터내셔날,"202,500","2,500",+1.25%,"5,000","14,458","7,140",5.23,"24,816",19.94,8.24,
193,롯데관광개발,"20,850",50,-0.24%,500,"14,444","69,276",6.69,"639,303",-9.24,-30.43,
194,종근당,"124,500",500,-0.40%,"2,500","14,225","11,426",8.02,"18,769",16.71,17.88,
195,KODEX 종합채권(AA-이상)액티브,"109,300",70,+0.06%,0,"14,080","12,882",0.00,"1,721",N/A,N/A,
196,LG생활건강우,"670,000","2,000",+0.30%,"5,000","14,068","2,100",84.47,"4,921",14.07,N/A,
197,롯데칠성,"151,500","1,500",-0.98%,500,"14,058","9,279",8.61,"27,402",61.71,-1.00,
198,에스엘,"28,500",150,+0.53%,500,"13,738","48,203",17.10,"79,798",9.02,4.74,
199,태광산업,"1,228,000","27,000",+2.25%,"5,000","13,673","1,113",6.56,"1,658",6.90,3.26,
200,SK네트웍스,"5,470",20,-0.36%,"2,500","13,576","248,188",12.86,"388,108",37.21,1.63,
